HS2,HS2 ID,Section,Section ID,Trade Value,Year
"Vegetable plaiting materials & products, n.e.s.",214,Vegetable Products,2,45108263,2016
"Animal or vegetable fats, oils, & waxes",315,Animal and Vegetable Bi-Products,3,112575979,2016
"Preparations of fish, crustacenas, & molluscs",416,Foodstuffs,4,3822774,2016
Sugars & confectioneries,417,Foodstuffs,4,50233251,2016
Cocoa & cocoa preparations,418,Foodstuffs,4,2691582,2016
"Preparations of cereals, flour, starch or milk",419,Foodstuffs,4,27851656,2016
"Preparations of vegetables, fruit, nuts or other plant parts",420,Foodstuffs,4,126995518,2016
Miscellaneous edible preparations,421,Foodstuffs,4,68356036,2016
"Beverages, spirits, & vinegar",422,Foodstuffs,4,64815928,2016
Food residues & wastes; animal fodder,423,Foodstuffs,4,10527008,2016
Tobacco & substitutes,424,Foodstuffs,4,159504596,2016
"Salt, sulphur, cement, lime, stone, & plaster",525,Mineral Products,5,109476615,2016
"Ores, slag and ash",526,Mineral Products,5,144315341,2016
"Mineral fuels, mineral oils and products of their distillation",527,Mineral Products,5,404177351,2016
Inorganic chemicals,628,Chemical Products,6,75224780,2016
Organic chemicals,629,Chemical Products,6,7559364,2016
Pharmaceutical products,630,Chemical Products,6,140061169,2016
Fertilizers,631,Chemical Products,6,27749402,2016
"Paints, dyes, & varnishes",632,Chemical Products,6,22638198,2016
Perfumery & cosmetics,633,Chemical Products,6,17925196,2016
"Soap, cleaners, candles, dental, modelling pastes",634,Chemical Products,6,77172035,2016
"Glues, starches, & albuminoid products",635,Chemical Products,6,4951926,2016
"Explosives, matches, & fireworks",636,Chemical Products,6,1402736,2016
Photo & movie goods,637,Chemical Products,6,323231,2016
Chemical products n.e.s.,638,Chemical Products,6,35861291,2016
Plastics & articles thereof,739,Plastics and Rubbers,7,142547615,2016
Rubber & articles thereof,740,Plastics and Rubbers,7,11855577,2016
Raw hides & skin (non-fur),841,Animal Hides,8,70861587,2016
Leather articles,842,Animal Hides,8,2812524,2016
"Furskins, articifial fur, & articles",843,Animal Hides,8,156745,2016
"Wood, wood articles, & charcoal",944,Wood Products,9,6548061,2016
Cork & cork articles,945,Wood Products,9,20151,2016
Straw & esparto manufactures,946,Wood Products,9,1650145,2016
Wood pulp & paper scrap,1047,Paper Goods,10,2154456,2016
Paper articles,1048,Paper Goods,10,69651068,2016
"Books, newspapers, & other prints",1049,Paper Goods,10,52382060,2016
Silk,1150,Textiles,11,14697,2016
Wool & animal hair,1151,Textiles,11,5617729,2016
Cotton,1152,Textiles,11,3091554,2016
"Vegetable textile fibers, paper yarn & fabrics",1153,Textiles,11,50987578,2016
Man-made filaments,1154,Textiles,11,639916,2016
Man-made staple fibres,1155,Textiles,11,9148814,2016
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,Textiles,11,5783284,2016
Carpets & textile floor covers,1157,Textiles,11,328496,2016
